"comparator","metric","difference_xgboost_minus_comparator","lower_95","upper_95"
"Regression","rmse",-0.0342731960728075,-0.0888179843340451,0.025014188681114
"Regression","mae",-0.0109551469439308,-0.0578277406509405,0.0370326586338874
"Random forest","rmse",-0.250825684272391,-0.362681727445909,-0.131389975292307
"Random forest","mae",-0.0748403035099292,-0.172418759733627,0.0205083464449843
