"term","estimate","standard_error","lower_95","upper_95","p_value"
"(Intercept)",2.42148161232591,0.0513845069675331,2.32073725203004,2.52222597262177,0
"admission_grade",0.00268965032217882,0.000235683999399828,0.0022275687502663,0.00315173189409134,1.11986830524104e-29
"log(age_at_enrollment)",-0.086243586942142,0.0133030014922912,-0.112325424726489,-0.0601617491577947,1.01636674998667e-10
"gender1",-0.0513469628073858,0.00727767888703824,-0.0656155652944482,-0.0370783603203234,2.04113545261462e-12
"scholarship_holder1",0.0438735588446121,0.00764784022267598,0.0288792187925547,0.0588678988966695,1.04171608130341e-08
