"mtry","nodesize","rmse"
1,5,1.94354111344341
1,10,1.94513423886788
1,20,1.94342226075667
1,40,1.94441313011972
2,5,1.97857811271644
2,10,1.97041366233601
2,20,1.96086520916698
2,40,1.95340797817127
3,5,2.02630549950384
3,10,2.0010924984495
3,20,1.98299492519431
3,40,1.96658041484682
4,5,2.04376687116744
4,10,2.01384630661329
4,20,1.99174678096394
4,40,1.97263427198093
5,5,2.05078576621576
5,10,2.02263835702774
5,20,1.99878845487478
5,40,1.97776353113147
